,size,alpha,Run,half_time,percolation_system,segregation_coefficient,stopping_step,density,pop_weights,fixed_areas_pc,cluster_threshold,homophily,stopping_threshold,stats,server
0,50,0.9,0,1.0,True,0.5978400555555555,23,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
1,50,0.9,1,1.0,True,0.5498480555555556,29,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
2,50,0.9,2,1.0,True,0.5835227777777777,35,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
3,50,0.9,3,1.0,True,0.5848423333333334,33,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
4,50,0.9,4,1.0,True,0.647591,30,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
5,50,0.9142857142857143,5,1.0,True,0.6109265555555555,34,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
6,50,0.9142857142857143,6,1.0,True,0.7775721111111111,39,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
7,50,0.9142857142857143,7,1.0,True,0.5838188888888889,23,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
8,50,0.9142857142857143,8,1.0,True,0.5631925,30,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
9,50,0.9142857142857143,9,1.0,True,0.6279918888888889,51,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
10,50,0.9285714285714286,10,1.0,True,0.6549831111111111,26,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
11,50,0.9285714285714286,11,1.0,True,0.6712560555555556,36,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
12,50,0.9285714285714286,12,1.0,True,0.6453040555555556,51,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
13,50,0.9285714285714286,13,1.0,True,0.5825110555555555,37,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
14,50,0.9285714285714286,14,1.0,True,0.6479023888888888,42,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
15,50,0.9428571428571428,15,1.0,True,0.619622,30,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
16,50,0.9428571428571428,16,1.0834342177396645,True,0.7693805,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
17,50,0.9428571428571428,17,1.0,True,0.6045587222222222,36,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
18,50,0.9428571428571428,18,1.0,True,0.7359910555555556,33,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
19,50,0.9428571428571428,19,1.0,True,0.5359372222222222,29,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
20,50,0.9571428571428572,20,1.0,True,0.56952,24,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
21,50,0.9571428571428572,21,1.430974828373472,True,0.7307741111111111,52,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
22,50,0.9571428571428572,22,1.1241284448110374,True,0.5872125555555555,27,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
23,50,0.9571428571428572,23,1.484839698286498,True,0.6500365,45,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
24,50,0.9571428571428572,24,1.551584236298581,True,0.6313197777777777,40,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
25,50,0.9714285714285714,25,1.7835494455123067,True,0.6896949444444445,47,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
26,50,0.9714285714285714,26,1.093511273567881,True,0.568912388888889,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
27,50,0.9714285714285714,27,1.0,True,0.6479433888888889,31,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
28,50,0.9714285714285714,28,1.3874211932513705,True,0.6251185,28,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
29,50,0.9714285714285714,29,1.5580827647436257,True,0.5758223333333333,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
30,50,0.9857142857142858,30,1.9201407950508402,True,0.6155125555555555,31,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
31,50,0.9857142857142858,31,1.7542048241957238,True,0.6518018333333333,44,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
32,50,0.9857142857142858,32,1.786447910585808,True,0.6946858888888888,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
33,50,0.9857142857142858,33,1.7007557371689574,True,0.6602428888888888,29,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
34,50,0.9857142857142858,34,3.3429462003754837,True,0.6492892222222222,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
35,50,1.0,35,2.366638603838606,True,0.6679145555555556,48,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
36,50,1.0,36,2.9716251410834644,True,0.5566437222222222,40,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
37,50,1.0,37,2.177603453896303,True,0.7734555555555556,40,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
38,50,1.0,38,5.010456174649771,True,0.652769,60,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
39,50,1.0,39,3.526406248025516,True,0.6054824444444444,54,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
40,100,0.9,40,1.0,True,0.5382584722222222,36,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
41,100,0.9,41,1.0,True,0.6940332499999999,39,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
42,100,0.9,42,1.0,True,0.6066964305555556,47,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
43,100,0.9,43,1.0,True,0.63164409375,40,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
44,100,0.9,44,1.0,True,0.55347809375,46,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
45,100,0.9142857142857143,45,1.0,True,0.5959403923611111,40,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
46,100,0.9142857142857143,46,1.0,True,0.5725968055555556,57,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
47,100,0.9142857142857143,47,1.0,True,0.5339548506944444,90,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
48,100,0.9142857142857143,48,1.0,True,0.5133841875,35,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
49,100,0.9142857142857143,49,1.0,True,0.51890415625,48,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
50,100,0.9285714285714286,50,1.0,True,0.5463298506944444,54,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
51,100,0.9285714285714286,51,1.0,True,0.6310140972222222,57,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
52,100,0.9285714285714286,52,1.0,True,0.607823798611111,48,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
53,100,0.9285714285714286,53,1.0,True,0.5703945451388889,36,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
54,100,0.9285714285714286,54,1.0,True,0.5287701388888889,62,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
55,100,0.9428571428571428,55,1.054528139869779,True,0.5103080902777778,55,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
56,100,0.9428571428571428,56,1.0891379271680086,True,0.3741062430555555,52,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
57,100,0.9428571428571428,57,1.2165009068314432,True,0.6627378576388889,33,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
58,100,0.9428571428571428,58,1.6896510656922712,True,0.5651526597222222,41,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
59,100,0.9428571428571428,59,1.1340850179495054,True,0.530336673611111,44,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
60,100,0.9571428571428572,60,1.5476024156383545,True,0.5813991249999999,64,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
61,100,0.9571428571428572,61,1.1187744994643058,True,0.5979073263888889,45,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
62,100,0.9571428571428572,62,1.0,True,0.5650423194444445,46,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
63,100,0.9571428571428572,63,1.0,True,0.6044856493055555,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
64,100,0.9571428571428572,64,1.452167489910098,True,0.5547703402777777,46,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
65,100,0.9714285714285714,65,1.6963318203161224,True,0.6171336388888888,43,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
66,100,0.9714285714285714,66,1.150887987068631,True,0.5611280590277777,43,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
67,100,0.9714285714285714,67,1.432690449269168,True,0.5374702916666666,57,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
68,100,0.9714285714285714,68,1.5160290375531975,True,0.6042278298611111,49,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
69,100,0.9714285714285714,69,1.2662206580227902,True,0.5586069687499999,40,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
70,100,0.9857142857142858,70,1.9885175367024053,True,0.5365621631944445,45,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
71,100,0.9857142857142858,71,2.13122486869822,True,0.5599464756944444,61,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
72,100,0.9857142857142858,72,1.711124938139537,True,0.33734200694444444,33,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
73,100,0.9857142857142858,73,1.4452708687400966,True,0.5458667291666667,34,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
74,100,0.9857142857142858,74,2.1754186386064363,True,0.6074966180555555,43,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
75,100,1.0,75,3.57781597195145,True,0.55314303125,41,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
76,100,1.0,76,3.2986753860045344,True,0.53227925,35,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
77,100,1.0,77,3.183607972644636,True,0.5141047222222223,46,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
78,100,1.0,78,2.2044382634679875,True,0.5395467569444444,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
79,100,1.0,79,1.9778199344801592,True,0.6177981840277778,39,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
80,150,0.9,80,1.0,True,0.5140619910836762,52,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
81,150,0.9,81,1.0,True,0.5412124725651577,49,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
82,150,0.9,82,1.0,True,0.5154681975308643,79,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
83,150,0.9,83,1.0,True,0.5065529211248285,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
84,150,0.9,84,1.0,True,0.5015444451303155,50,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
85,150,0.9142857142857143,85,1.0,True,0.527753585048011,85,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
86,150,0.9142857142857143,86,1.0,True,0.5125626412894376,51,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
87,150,0.9142857142857143,87,1.0,True,0.5250841680384088,53,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
88,150,0.9142857142857143,88,1.0,True,0.695904365569273,83,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
89,150,0.9142857142857143,89,1.0,True,0.5246242050754458,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
90,150,0.9285714285714286,90,1.0,True,0.5168428765432099,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
91,150,0.9285714285714286,91,1.0,True,0.49721197530864203,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
92,150,0.9285714285714286,92,1.0,True,0.5433633100137174,88,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
93,150,0.9285714285714286,93,1.2964744710031961,True,0.5470023827160494,65,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
94,150,0.9285714285714286,94,1.0,True,0.5414761063100137,43,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
95,150,0.9428571428571428,95,1.0,True,0.5269430308641976,61,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
96,150,0.9428571428571428,96,1.0,True,0.5153403244170096,59,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
97,150,0.9428571428571428,97,1.099777683300759,True,0.5334378587105625,75,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
98,150,0.9428571428571428,98,1.3567684467276433,True,0.5344180000000001,85,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
99,150,0.9428571428571428,99,1.7117565491010005,True,0.5222718360768176,101,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
100,150,0.9571428571428572,100,1.1830496389693108,True,0.5220160953360768,56,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
101,150,0.9571428571428572,101,1.3761513015219657,True,0.439668975308642,65,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
102,150,0.9571428571428572,102,1.4714751852537147,True,0.5256442235939643,50,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
103,150,0.9571428571428572,103,1.3176011461994617,True,0.5523616111111112,60,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
104,150,0.9571428571428572,104,1.3180630939255757,True,0.5140002633744856,69,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
105,150,0.9714285714285714,105,1.3667263056901588,True,0.5097019218106996,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
106,150,0.9714285714285714,106,1.8375218692671487,True,0.6367938957475995,74,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
107,150,0.9714285714285714,107,1.8789472478511082,True,0.47916434842249656,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
108,150,0.9714285714285714,108,1.7215845586308456,True,0.5140369650205762,55,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
109,150,0.9714285714285714,109,1.7040426726084157,True,0.5451333182441701,64,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
110,150,0.9857142857142858,110,2.585653599435111,True,0.501732401234568,54,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
111,150,0.9857142857142858,111,1.9306385488428925,True,0.5293797606310013,53,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
112,150,0.9857142857142858,112,2.3054487796578016,True,0.5866832311385459,65,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
113,150,0.9857142857142858,113,1.7218537280432606,True,0.48670052331961594,39,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
114,150,0.9857142857142858,114,1.3800096847713916,True,0.4879131975308642,42,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
115,150,1.0,115,3.317659603126189,True,0.527557207133059,58,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
116,150,1.0,116,3.9220785695767653,True,0.5044602126200275,48,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
117,150,1.0,117,3.88959149308222,True,0.5499383587105624,56,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
118,150,1.0,118,4.889057332891304,True,0.557206010973937,61,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
119,150,1.0,119,2.783407845723634,True,0.5344785541838134,57,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
